symbol,company_name,isin,exchange,market_cap_cr,category
LICHSGFIN,Lic Housing Finance Ltd.,INE115A01026,NSE,31410.67,Small Cap
GILLETTE,Gillette India Ltd.,INE322A01010,NSE,31177.53,Small Cap
GLAND,Gland Pharma Limited,INE068V01023,NSE,31066.86,Small Cap
APOLLOTYRE,Apollo Tyres Ltd,INE438A01022,NSE,30841.51,Small Cap
NIACL,The New India Assurance Company Limited,INE470Y01017,NSE,30191.5,Small Cap
NBCC,NBCC (India) Limited,INE095N01031,NSE,30065.13,Small Cap
ITI,ITI Limited (Indian Teleph.Ind.Ltd),INE248A01017,NSE,30012.77,Small Cap
HINDCOPPER,Hindustan Copper Ltd.,INE531E01026,NSE,29931.63,Small Cap
GRSE,Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,NSE,29787.03,Small Cap
MSUMI,Motherson Sumi Wiring India Limited,INE0FS801015,NSE,29602.1,Small Cap
GUJENERGY,Gujarat Gas Limited,INE844O01030,NSE,29364.2,Small Cap
IGL,Indraprashtha Gas Ltd.,INE203G01027,NSE,29029.15,Small Cap
SONACOMS,Sona BLW Precision Forgings Limited,INE073K01018,NSE,28833.22,Small Cap
AEGISVOPAK,AEGIS VOPAK TERMINALS LIMITED,INE0INX01018,NSE,28634.44,Small Cap
KIMS,Krishna Institute of Medical Sciences Limited,INE967H01025,NSE,28471.05,Small Cap
TATATECH,Tata Technologies Limited,INE142M01025,NSE,27832.1,Small Cap
PINELABS,Pine Labs Limited,INE15B701018,NSE,27484.2,Small Cap
IKS,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,INE115Q01022,NSE,27304.23,Small Cap
ELITECON,ELITECON INTERNATIONAL LIMITED,INE669R01026,NSE,27167.07,Small Cap
STARHEALTH,Star Health and Allied Insurance Company Limited,INE575P01011,NSE,26980.34,Small Cap
TVSHLTD,TVS Holdings Limited,INE105A01035,NSE,26836.38,Small Cap
IRB,IRB Infrastructure Developers Limited,INE821I01022,NSE,26588.28,Small Cap
NAVINFLUOR,Navin Fluorine International Limited,INE048G01026,NSE,26561.23,Small Cap
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,INE258G01013,NSE,26462.62,Small Cap
AFFLE,AFFLE 3I LIMITED,INE00WC01027,NSE,26430.79,Small Cap
AEGISLOG,Aegis Logistics Ltd.,INE208C01025,NSE,26423.69,Small Cap
SYNGENE,Syngene International Limited,INE398R01022,NSE,26232.92,Small Cap
BANDHANBNK,Bandhan Bank Limited,INE545U01014,NSE,26208.99,Small Cap
EMCURE,Emcure Pharmaceuticals Limited,INE168P01015,NSE,26075.84,Small Cap
LALPATHLAB,Dr. Lal Pathlabs Limited,INE600L01024,NSE,26020.75,Small Cap
AMBER,Amber Enterprises India Limited,INE371P01015,NSE,26002.12,Small Cap
PPLPHARMA,PIRAMAL PHARMA LIMITED,INE0DK501011,NSE,25719.5,Small Cap
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,INE342J01019,NSE,25710.02,Small Cap
NUVAMA,Nuvama Wealth Management Limited,INE531F01023,NSE,25514.09,Small Cap
MRPL,Mangalore Refinery & Petrochemicals,INE103A01014,NSE,25242.62,Small Cap
RAMCOCEM,The Ramco Cements Limited,INE331A01037,NSE,25048.45,Small Cap
SHYAMMETL,Shyam Metalics and Energy Limited,INE810G01011,NSE,24910.76,Small Cap
EMAMILTD,Emami Ltd,INE548C01032,NSE,24474.72,Small Cap
FSL,Firstsource Solutions Ltd.,INE684F01012,NSE,24406.17,Small Cap
INOXWIND,Inox Wind Limited,INE066P01011,NSE,24300.5,Small Cap
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,NSE,24200.08,Small Cap
EIHOTEL,EIH Ltd,INE230A01023,NSE,23930.8,Small Cap
WOCKPHARMA,Wockhardt Ltd,INE049B01025,NSE,23917.62,Small Cap
PTCIL,PTC Industries Ltd.,INE596F01018,NSE,23914.55,Small Cap
PFIZER,Pfizer Ltd.,INE182A01018,NSE,23804.97,Small Cap
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,NSE,23646.57,Small Cap
KIOCL,KIOCL Limited,INE880L01014,NSE,23628.12,Small Cap
